File Name,File Id,Method Name,Method Id,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Formal Parameters,Call Pair Length,Defected?(false/true)
HashingTokenizer.java,3,addCharacterToken,7,1,0.0,0.0,0,0,3.0,0,1,3,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1,0,false
HashingTokenizer.java,3,isAtEnd,8,2,0.0,0.0,1,1,6.0,0,1,12,2,5,2,4,2.0,7,0.5,0.78,0.04,0.39,0.5,0,0,false
HashingTokenizer.java,3,getNextTokenInfo,9,7,1.0,0.67,6,3,3.86,3,5,27,19,26,11,11,9.09,45,0.11,1.36,0.08,0.15,0.71,0,3,false
HashingTokenizer.java,3,getNextTokenCluster,10,4,1.33,0.33,3,4,5.0,3,2,20,12,16,9,10,6.67,28,0.15,1.27,0.07,0.19,0.5,1,2,false
HashingTokenizer.java,3,remainingTokenClusters,11,1,0.0,0.0,0,0,0.0,0,1,0,2,1,2,1,0.5,3,2.0,0.47,0.03,0.95,1.0,1,0,false
HashingTokenizer.java,3,TokenizerEndException,6,1,0.0,0.0,0,0,3.0,0,1,3,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1,0,false
SoftwareMetrics.java,12,fromProject,14,1,0.0,0.0,0,0,3.0,0,1,3,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,1,0,false
SoftwareMetrics.java,12,fromPath,15,1,0.0,0.0,0,0,9.0,0,1,9,10,9,8,3,1.89,19,0.53,1.04,0.06,0.55,1.0,2,3,false
SoftwareMetrics.java,12,SoftwareMetrics,16,1,0.0,0.0,0,0,5.0,0,1,5,4,4,4,2,1.0,8,1.0,0.78,0.04,0.78,1.0,1,1,false
SoftwareMetrics.java,12,volume,17,1,0.0,0.0,0,0,3.0,0,1,3,3,4,3,3,1.49,7,0.67,0.77,0.04,0.52,1.0,0,2,false
SoftwareMetrics.java,12,fromProject,190,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
Token.java,18,Token,25,1,0.0,0.0,0,0,5.0,0,1,5,5,6,3,2,1.67,11,0.6,0.7,0.04,0.42,1.0,3,0,false
Token.java,18,getLineNo,26,1,0.0,0.0,0,0,3.0,0,1,3,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
Token.java,18,getId,27,1,0.0,0.0,0,0,3.0,0,1,3,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
Token.java,18,equals,28,2,3.0,0.0,1,3,3.0,1,1,6,3,9,3,8,4.0,12,0.25,1.04,0.06,0.26,0.5,1,0,false
Token.java,18,hashCode,29,1,0.0,0.0,0,0,3.0,0,1,3,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
Token.java,18,setType,21,1,0.0,0.0,0,0,3.0,0,1,3,3,2,3,2,1.0,5,1.0,0.7,0.04,0.7,1.0,1,1,false
Token.java,18,setTypeWithValue,22,2,2.0,0.0,1,2,5.5,1,1,11,12,17,5,6,7.14,29,0.14,1.07,0.06,0.15,0.5,2,0,false
Token.java,18,setLineNo,23,1,0.0,0.0,0,0,4.0,0,1,4,2,3,1,3,3.03,5,0.33,0.61,0.03,0.2,1.0,1,0,false
Token.java,18,createToken,24,1,0.0,0.0,0,0,3.0,0,1,3,4,1,4,1,0.5,5,2.0,0.7,0.04,1.4,1.0,0,0,false
Token.java,18,setType,171,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
Token.java,18,setTypeWithValue,172,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
Token.java,18,setTypeWithValue,173,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
Token.java,18,setTypeWithValue,174,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
Token.java,18,setTypeWithValue,175,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
Token.java,18,setLineNo,176,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
Token.java,18,setLineNo,177,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
TokenCluster.java,30,equals,32,4,3.0,0.0,2,6,1.5,2,1,6,5,12,5,8,4.0,17,0.25,1.12,0.06,0.28,0.25,1,1,false
TokenCluster.java,30,hashCode,33,1,0.0,0.0,0,0,3.0,0,1,3,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
TokenCluster.java,30,getClass,216,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
TokenCluster.java,30,TokenClusterBuilder,35,1,0.0,0.0,0,0,0.0,0,1,0,3,2,3,2,1.0,5,1.0,0.7,0.04,0.7,1.0,0,0,false
TokenCluster.java,30,addNext,179,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
TokenCluster.java,30,cluster,180,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
TokenClusterOccurrenceTable.java,36,TokenClusterOccurrenceTable,38,1,0.0,0.0,0,0,0.0,0,1,0,2,1,2,1,0.5,3,2.0,0.47,0.03,0.95,1.0,0,0,false
TokenClusterOccurrenceTable.java,36,tabulate,192,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
TokenClusterOccurrenceTable.java,36,total,194,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
TokenClusterOccurrenceTable.java,36,uniqueCount,195,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
TokenClusterOccurrenceTable.java,36,tabulate,226,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
TokenClusterOccurrenceTable.java,36,tabulate,227,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
TokenClusterOccurrenceTable.java,36,collisionCount,228,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
TokenClusterOccurrenceTable.java,36,total,229,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
TokenHashingStrategy.java,39,TokenHashingStrategy,41,1,0.0,0.0,0,0,3.0,0,1,3,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
TokenHashingStrategy.java,39,compare,42,1,0.0,0.0,0,0,7.0,0,1,7,5,9,4,5,3.12,14,0.32,0.97,0.05,0.31,1.0,2,3,false
TokenTest.java,43,main,45,1,0.0,0.0,0,0,8.0,0,1,8,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1,0,false
CorrelationMatrixMenuModel.java,47,loadMatrix,49,1,0.0,0.0,0,0,3.0,0,1,3,2,2,2,2,1.0,4,1.0,0.6,0.03,0.6,1.0,1,0,false
CorrelationMatrixMenuModel.java,47,getMatrix,50,1,0.0,0.0,0,0,4.0,0,1,4,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
CorrelationMatrixMenuModel.java,47,getMatrix,238,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
CorrelationMatrixMenuPresenter.java,51,loadModelMatrixToTable,53,1,0.0,0.0,0,0,0.0,0,1,0,3,3,3,2,1.0,6,1.0,0.7,0.04,0.7,1.0,0,1,false
MultiProjectMenuModel.java,59,getChosenProjectsPath,61,1,0.0,0.0,0,0,3.0,0,1,3,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
MultiProjectMenuModel.java,59,setChosenProjectsPath,62,1,0.0,0.0,0,0,3.0,0,1,3,2,2,1,2,2.0,4,0.5,0.48,0.03,0.24,1.0,1,0,false
MultiProjectMenuModel.java,59,getFilterBuilder,63,1,0.0,0.0,0,0,3.0,0,1,3,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
MultiProjectMenuModel.java,59,createFilter,64,1,0.0,0.0,0,0,3.0,0,1,3,1,2,1,2,1.0,3,1.0,0.48,0.03,0.48,1.0,0,1,false
MultiProjectMenuPresenter.java,65,initialize,67,1,0.0,0.0,0,0,0.0,0,1,0,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
MultiProjectMenuService.java,68,processMultiProjectFolder,70,1,0.0,0.0,0,0,5.0,0,1,5,4,4,4,3,1.49,8,0.67,0.85,0.05,0.57,1.0,2,2,false
MultiProjectMenuService.java,68,folderCount,71,1,0.0,0.0,0,0,0.0,0,1,0,1,2,1,2,1.0,3,1.0,0.48,0.03,0.48,1.0,1,0,false
MultiProjectMenuService.java,68,folderCount,271,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
MultiProjectMenuServiceTest.java,72,folderCount,74,1,0.0,0.0,0,1,3.0,0,1,3,2,2,2,2,1.0,4,1.0,0.6,0.03,0.6,1.0,0,1,false
CustomColorOperations.java,80,CustomColorOperations,82,1,0.0,0.0,0,0,1.0,0,1,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
CustomColorOperations.java,80,interpolateColor,83,1,0.0,0.0,0,0,3.0,0,1,3,0,1,0,1,0.0,1,0.0,0.0,0.0,0.0,1.0,3,0,false
CustomFXMLOperations.java,84,CustomFXMLOperations,86,1,0.0,0.0,0,0,1.0,0,1,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
CustomFXMLOperations.java,84,showFxmlViewInWindow,87,2,0.0,0.0,1,0,0.0,0,1,0,2,4,1,3,3.03,6,0.33,0.61,0.03,0.2,0.5,1,0,false
MultiProjectStorage.java,89,projectCount,91,1,0.0,0.0,0,0,3.0,0,1,3,0,1,0,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0,0,false
MultiProjectStorage.java,89,iterator,92,1,0.0,0.0,0,0,3.0,0,1,3,0,1,0,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0,0,false
MultiProjectStorage.java,89,projectsIn,93,1,0.0,0.0,0,0,3.0,0,1,3,2,1,2,1,0.5,3,2.0,0.47,0.03,0.95,1.0,2,0,false
MultiProjectStorage.java,89,fromCollection,94,1,0.0,0.0,0,0,3.0,0,1,3,2,1,2,1,0.5,3,2.0,0.47,0.03,0.95,1.0,1,0,false
MultiProjectStorage.java,89,fromPathCollection,95,1,0.0,0.0,0,0,3.0,0,1,3,2,1,2,1,0.5,3,2.0,0.47,0.03,0.95,1.0,2,0,false
MultiProjectStorage.java,89,MultiProjectStorage,96,1,0.0,0.0,0,0,0.0,0,1,0,2,2,2,2,1.0,4,1.0,0.6,0.03,0.6,1.0,2,0,false
MultiProjectStorage.java,89,projectsIn,266,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
MultiProjectStorage.java,89,projectsIn,355,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
MultiStreamReaderGenerator.java,97,MultiStreamReaderGenerator,99,1,0.0,0.0,0,0,7.0,0,1,7,5,3,4,1,0.62,8,1.6,0.69,0.04,1.12,1.0,1,0,false
MultiStreamReaderGenerator.java,97,generate,100,1,0.0,0.0,0,0,5.0,0,1,5,4,1,2,1,1.0,5,1.0,0.48,0.03,0.48,1.0,0,0,false
MultiStreamReaderGeneratorTest.java,101,before,103,1,0.0,0.0,0,0,2.0,0,1,2,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
MultiStreamReaderGeneratorTest.java,101,after,104,1,0.0,0.0,0,0,2.0,0,1,2,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
MultiStreamReaderGeneratorTest.java,101,testGenerate,105,1,0.0,0.0,0,0,0.0,0,1,0,8,5,5,2,1.61,13,0.62,0.84,0.05,0.52,1.0,0,0,false
PathFilter.java,106,Type,108,1,0.0,0.0,0,0,3.0,0,1,3,2,2,2,2,1.0,4,1.0,0.6,0.03,0.6,1.0,1,0,false
PathFilter.java,106,getFilterTypeIdentifier,109,1,0.0,0.0,0,0,1.0,0,1,1,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
PathFilter.java,106,matchesAll,110,2,1.0,0.0,1,1,4.0,1,1,8,9,8,7,6,3.85,17,0.26,1.12,0.06,0.29,0.5,1,0,false
PathFilter.java,106,createFilter,245,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
Project.java,112,Project,114,1,0.0,0.0,0,0,5.0,0,1,5,7,6,4,2,1.75,13,0.57,0.77,0.04,0.44,1.0,3,0,false
Project.java,112,getConcatenatedReader,115,1,0.0,0.0,0,0,3.0,0,1,3,1,2,1,2,1.0,3,1.0,0.48,0.03,0.48,1.0,0,1,false
Project.java,112,getPath,116,1,0.0,0.0,0,0,3.0,0,1,3,1,2,1,2,1.0,3,1.0,0.48,0.03,0.48,1.0,0,0,false
Project.java,112,getName,117,1,0.0,0.0,0,0,3.0,0,1,3,2,2,2,2,1.0,4,1.0,0.6,0.03,0.6,1.0,0,0,false
ProjectBuilder.java,118,ProjectBuilder,120,1,0.0,0.0,0,0,4.0,0,1,4,3,4,3,2,1.0,7,1.0,0.7,0.04,0.7,1.0,0,0,false
ProjectBuilder.java,118,setPath,121,1,0.0,0.0,0,0,4.0,0,1,4,2,3,1,3,3.03,5,0.33,0.61,0.03,0.2,1.0,1,0,false
ProjectBuilder.java,118,setName,122,1,0.0,0.0,0,0,4.0,0,1,4,2,3,1,3,3.03,5,0.33,0.61,0.03,0.2,1.0,1,0,false
ProjectBuilder.java,118,setFilter,123,1,0.0,0.0,0,0,4.0,0,1,4,2,3,1,3,3.03,5,0.33,0.61,0.03,0.2,1.0,1,0,false
ProjectBuilder.java,118,createProject,124,2,2.0,0.0,1,2,2.0,1,1,4,10,8,7,5,3.57,18,0.28,1.07,0.06,0.3,0.5,0,0,false
ProjectBuilder.java,118,setPath,186,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
